Review,Score
너 내가 누군지 아니? 하얼빈 장첸이야,4
아쉬운점은 경찰가지고 양아치깡패를 만들어놓은점?,3.5
히어로 마동석의 등장,3.5
신선한 충격,4
"마석도는 정의로운 개그캐였고
장첸은 분명 쓰레기인데 묘하게 신경 쓰이는 이유가 뭘까",4
"정말 무서웠던 말 그대로 범죄도시, 이 첫 편의 감성이 좋다.",3.5
"마동석이라는 배우를 가장 영리하고 알차게 썼고 배우 윤계상,진선규,박지환을 각인시킨 영화",3
구려,0.5
"좋은 영화인데 너무 잘돼서 양산형 똥이 자꾸만 생산되는 원흉이기도 해서 미운 영화
애증의범죄도시

그러나 캐릭터 스토리 연출 모두 화끈함을 담백하게 잘 살린 근 한국범죄영화 중 최고",4
"긴장감,캐릭터,이야기 모두가 아울러 하나를 만든다",3
완벽,5
역시..1편이지,4.5
캐릭터 무비의 최고 수작!,3
웰메이드 범죄 액션영화란 이런 것.,3.5
내가 돈 받으러 와서 그것까지 알아야 하니?,5
"뻔한데 재미있다.
그리고 솔직하게 죽여서 좋다.
윤계상이 연기 잘하는 걸 처음 알았다.",5
"가장 아름다운 도시. . .
그러나 다시는 볼 수 없는 추억의 도시. . .",5
하나의 장르가 되기로 한 마동석.,3.5
"기대 안하고 관람했지만 한국에서 이정도로 스릴러, 코믹, 액션이 결합된 영화를 보기 쉽지 않은데 완벽하게 만족시켜준 작품! 이런 영화에선 빌런의 캐릭터가 중요하단걸 다시 한번 깨닫았다.
.
.
[2017년 안양역 롯데시네마에서 관람]",4
통쾌한 액션과 화려한 비주얼로 과시하는 마동석이라는 배우의 존재감.,4
강렬한 캐릭터의 부드러운 조화,3.5
이런 영화 딱 싫어,0.5
뒤가 없다는 듯 예상 못하게 갑자기 행동하는 사람이 어떤 싸이코패스 캐릭터보다 무서운 것 같다,3
재밋음,3
여기서 끝냈으면 나름 명작,4
장첸섹시미,3.5
"영화 진짜 잘 만들었다. 연출도 괜찮고 신경도 많이 썼다는게 보이고, 특히 배우들이 주연부터 조연, 단역들까지 하나같이 다 연기를 잘해",5
마동석의 보석함 시리즈,3.5
"캐릭터, 액션, 시나리오, 연출. 모두 90점.!",4
꽉 채운 한 편. 시리즈 중 최고,4
혼자와써? 어 아직 싱글이야.. 아직은..,4
좋은 범죄 액션,3
공장화 이전에 ‘제대로 된’ 영화.,3.5
이때 멈췄어야했는데..,4.5
"실제 가리봉동에 대란 고증과 유쾌한 재미, 탄탄한 전개력",4
"놀라운 액션과 장첸의 완벽한 연기, 너무 재밌다",4.5
마라룽샤 잘먹네...,3
전설의 마블리의 시작,5
"폭력의 아우라 대비 아쉬운 초라한 퇴장
241005",3.5
그저 대한민국 영화 시장의 현 실태,0.5
배우 윤계상의 발견!!,3.5
장첸과 화장실 액션씬은 한국 영화사에 남을만한 명장면.,4
부패와 영웅 그 선택의 기로를 알려준 잔혹의 경지,4
너무나도 강렬했던 전설의 시작편,4.5
주먹이 최고,3
너 내 누군지 아니?,4
기대 이하,3
확실히 장첸이 압도적이다,3.5
"재미있지만
한국 액션의 한계…",2.5
"그냥저냥 유쾌한 액션
역시나 1편이 제일이다",1
중독성있는 대사와 양념같은 코미디. 캐릭터들은 개성있었지만 영화는 진부했습니다.,3
범죄도시가 웰메이드 범죄물일 시절,3.5
왜 모든 시리즈가 다 천만이 넘었을까 궁금해서 매번 시도했는데 너무 잔인해서 3트 만에 겨우 다 봤다. 흥행요인은 아무래도 마동석이 진짜로 너무 나쁜 놈들을 개 패듯이 패줘서 시원해서겠지?,2
1편만은 그 어떤 범죄영화보다 충격적이었던,5
"애드리브, 연출, 연기. 느와르적인 요소를 마동석과 연결지어 코미드스럽게도 풀어낸 명작.",4
"권선징악 액션물 딱 그정도..

성적이 좋아서 내심 기대치가 높았다.",3
1만 재밌다,5
킬링타임 액션의 시작을 연 영화,3
최고.,5
띵작,4
"정의는 승리하고 악은 나쁘다!!!!
간단하게 보는 웰메이드 까지는 아닌 클리쉐 범벅 영화 정도.
포스터는 또 왜 저래?",2
"캐릭터성이 엄청난 장점이다
선역, 악역 가리지 않고
주연, 조연, 단역 모두의 캐릭터성이 정말 매력적으로
느껴진다!!",4
장첸의 연기가 정말 마음에 듬.,3.5
장첸의 포스가 압도적이고 재미는 있으나 억지스런 위기에 답답함을 느낄때가 있었다.,3
앞으로 이 시리즈에서 장첸만한 빌런은 나오지 못 한다.,4
"나쁜 놈은 나쁜 놈으로 때려잡는다. 영화를 처음부터 끝까지 몰고 갈 만큼 두 주연의 캐릭터성이 대단했다.
@Disney+",3.5
"악역을 확실하게 나쁜 이미지로 박아버리고 시작한다.
서사가 있어서 납득이 되며 우리는 마형사를 응원할 수밖예 없다.
누구나 한 번쯤 생각해볼법한 악당을 시원하게 때려잡는 모습을 마동석이란 캐릭터를 이용하여 보여준다.
캐릭성은 정말 확실하게 잡았다.
2024.09.29
두 번째 관람",4
오랜만에 재밌는 범죄영화!!!,4
마동석의 핍진성과 윤계상이라는 메인 빌런을 향한 새로운 상한 제시.,3.5
한국형 블록버스터 시리즈물의 화려한 등장. 흥행 보증수표를 끊기 시작한 작품이랄까,4
니내누군지아니? 볼려고 봄,2.5
장첸만큼 매력있는 악역 또 없다. 진짜,4.5
한국 깡패 영화 뻔하지...라고 했다가 의외로 볼만해서 놀랬다. 잘 만든 상업영화.,4
액스트라까지 모두 역동적으로 살아서 입체적으로 움직인다.,3.5
2 3 4 때문에 좀 지워졌는데 진짜 개재밌네,4
"액션과 코미디의 적절한 버무림
마동석 시리즈의 시작",4
압도적인 위압감 vs 사이코패스,3.5
시원시원함,4
가족끼리 가볍게 재밌게 보기 좋은 영화.,3
"지금와서 다시 보니 여러모로 웃음과 몰입을 잘 주는
잘 만든 작품이다.",4
"대한민국 인기 No.1 장르
바로 ’마동석‘",2
"실화배경 영화라지만 결과물은 팝콘무비. 그래도, 팝콘무비다운 플롯구성엔 충실했다.",3.5
개10 명작,5
액션은 내 취향은 아닌갑다..,2.5
마동석의 1:17,2.5
"적당히 정의로워 적당히 통쾌한 동시에, 적당히 부패하여 적당히 불쾌함. 불쾌하여 지겹기까지한 부분들을 발라내면 90분으로 즐거웠을 듯",2.5
"날것의,잔인한,육중한",4
"그냥 이유가 없구나
유명한 이유는 알겠다",4.5
딱히 이유없는 무자비함이 영화 내내 지배한다. 너무 무서워잉,3
장첸의 탄생만으로 박수칠만함,4
전형적인 먼치킨류,3
"평균 이상의 유머, 평균 이상의 액션, 평균 이상의 스릴.",3.5
아직 마석도가 초인이 아니던 시절이었기에 있을법하게 다가오는 공포.,4
"""휴지를 이렇게 많이 쓰면 어떡하냐 세금도 안 내는 **가""",4.5
준내 나쁜놈한텐 나쁜놈이 필요하다?,3
"잔혹함이 포르노로만 소비되지 않을 때, 스타일이 된다.
주인공이 센 맛은 누구나 좋아하는 치킨스톡 육수처럼 쾌감을 주지.",3.5
"이건진짜작품이었고
그이후에는 악역배우들 매력장기자랑시작",3.5
"통렬한 액션, 파고드는 메시지, 돌아보는 2004년. 얼마안된, 파렴치한.",3.5
"너무 무게잡지도 않아 가볍게 즐기기 딱 좋은 킬링타임용 영화.

액션영화로서 통쾌하고 호쾌한 액션과 이해하기 쉽게 단순하고 깔끔한 스토리. 청불이라고 해도 수위도 그렇게 높지 않아 진입장벽도 낮다. 그러나 안 좋게 말하면 그만큼 영화가 뭔가 전하려는 메시지도 옅어 그냥 전형적인 한국식 액션 영화라고도 할 수 있다. 반대로 좋게 말하면 장르에 충실했기에 스트레스를 풀기 위해 보는 것이지 자세한 의미를 찾기 위해 보는 영화는 아니라는 것.

무엇보다 <황해>와 같은 영화와 비슷하게 악역의 국적 설정이 조선족이다보니 혐오문제로도 퍼질수 있으나 영화계에 드물게 선역 조선족 소시민들도 충분히 잘 묘사되어 이 점이 매우 좋았다.

묵직하고 고릴라같은 마동석의 액션, 그리고 뭔가 섬찟한 윤계상의 악역연기는 영화의 분위기를 잘 살려주었다. 그리고 불쌍하다고 생각이 들 정도로 개그 캐릭터에 위치한 감초와 같은 박지환의 장이수 연기까지. 영화를 보는 내내 자신의 캐릭터에 잘 이입했던 모습이 상당히 볼만했다.",3
용두사미미미.,3.5
개성넘치는 캐릭터들의 향연에 시종일관 즐겁다.,4
핍진성은 이런 게 아닐까?,4.5
내 안에 있던 들개를 밖으로 꺼내준 영화,3.5
영화의 분위기가 숨을 막히게 만든다 무겁다.,4.5
단조로운 형사물에 마동석 한 스푼 추가.,3
역시 싱글이 졸다,4.5
"재재재.... 시청중 느껴지는 점
후후후작 들과 비교하면
매우 간결하다
하고픈게 많아서 그러겠지",4.5
??,3
평범한 이야기에 배우의 고유한 힘이 발휘된다.,3
마 유니버스의 시작점,3.5
92.20%,4.5
"조금 엉성해도, 쾌감이 있었던 영화.",4
난 범죄도시1이 제일 재밌었음,3
마동석과 장첸의 절묘한 균형감각이 주는 서늘함,3.5
윤기나는 장첸의 꽁지,4.5
가장 범죄자같은 범죄영화,4
재밌는데 일부 찝찝해...,3
이 맛을 잊지못한다...진정한 범죄도시는 1밖에 없음이 분명..,5
10여년 전 서든어택 처음하던 느낌,3
장첸이 등장할 때마다 숨 죽이고 식은땀을 흘리게 한다.,4
여기까지가 딱 좋았을 텐데,3.5
윤계상 멋있당...,3.5
이 시리즈는 3점 고정으로 쭉 갈듯 아마,3
"뭔가 뻔한 소재인거 같은데 계속해서 보게 된다구,, 중간 중간에 계속 나오는 웃음 소재.. 날 웃게 만들어",3.5
밈의 기원을 찾아서,3
시원시원하지,5
강렬했던 장첸과 아이들,4
마라룽샤 홍보 영화,3
