Review,Score
이젠 1인분도 못하는 영화가 되었어,2.5
엄마가 보길래 옆에서 잠깐 본다고 서있다가 우뚝선상태로 끝까지봄,5.0
진짜 개잘팬다,3.5
장이수 평생 웃김,3.5
그만.,0.5
이쁘게 싼 똥같았다,2.0
"“혼자서 괜찮겠어?”
“…외롭지“

아슬아슬 했던 3편을 넘어 4부터는 외로운 싸움처럼 보인다. 힘이 빠져 보인다. 당연한 결과라고 본다. 다만 성의가 없어지는 느낌이 들면 안되는데 성의가 없었다.",1.5
어디까지 가는거야..,1.0
난 이제 장이수가 불쌍함 ㅜ,2.5
오마주라고 하기엔 민망한 자기복제,2.5
그만..이제 그만….!!!,2.5
이젠 그만.,2.0
"3편을 보고 그렇게 욕했는데 ㅋㅋ
OTT에 업로드 된걸 보니 그냥 지나치진
못하겠다.

전반적으로 3편보다는 재밌고 조금은
신경을 쓴 것 같다.
(그렇다고 영화가 좋지는 않다)

어떤역을 맡아도 비슷비슷한 김동휘와
김무열이 빌런이라 긴장감은 없다시피 했고
마석도가 한방에 눕히지 않고 여러대 때려주는게 가장 큰 변화라면 변화.

이번 4편은 장이수(박지환 배우)가
거의 끌어가다시피 했다고 해도 과언이
아닐것 같다.

왜웃긴지 모르겠고 유치한데 배우의
연기가 좋아서 그런지 보는 내내  장이수만
나오면 피식피식 웃게되는 매력이 있었다.

그만 나오면 참좋을 것  같은 시리즈 이지만
돈이 되니까 계속 나올것 같은데..

그럴거면 1편처럼 돌아갈 순 없으니까
아예 스케일 키워서 드웨인존슨이나
존윅 정도  스케일의 배우랑 주먹을 섞으면
어떨까 싶다.

아주 독한 여성 빌런도 좋을것 같고.",2.0
"커여운 장이수
범죄도시는 믿고보는 가족영화
241122",1.0
점점 얕아지는 범죄에 대한 고찰,2.5
평점 무슨일이니; 백창기 개존나 존잘띠😍,5.0
"뻔해..

작품성은 갈수록 낮아져",2.5
시리즈는 퇴보한다는 진리를 보여주는 시리즈,2.5
"3보다는 재밌다고 한다
그렇다",1.5
난 모르겠어...욕이 너무 많이 나오고... 장이수 경찰 역할 할 때만 재밌었엉...,2.0
"시리즈
중 최악
다음 시리즈는 없기를",1.0
"24.07.12 @쿠플

이제는 범죄도시를 보지 않으면 안 되는 몸이 되어버렸는데 도대체 어디까지 재미없어질꺼야",2.5
"비슷한 스토리, 아는 맛이 맛있다.",2.5
그만해 .. 이제,2.0
지문인식장치에 손가락을 가져가는 순간부터 앞으로 이어질 모든 시퀀스가 자연스럽게 떠올라버린다,2.5
이제 다른걸로 합시다. 주먹도,2.5
생각 없이 보게 되는게 아니라 다른 생각하면서 보는 영화,2.0
"장이수는 마석도의 팅커벨
백창기는 슉슉 몸이 너무 얇아요 이동휘는 뭐예요?",3.5
뻔하지만 이만한 한국영화 없음 2024.11.17.,3.0
"진짜 이런 스토리가 최선?
이겠지.. 시리즈가 다 똑같다
근데 이번 편은 그나마 있던 재미도 없음",0.5
그야말로 한국인의 정,1.0
고요함속에서 나오는 긴장감이 없어 그냥 긴 장난처럼 보는 영화가 됐습니다.,0.5
한번쯤은 다시 시즌1 감성으로,1.5
"이해가 되지 않는 동기
몰입을 깨는 과도하며 촌스러운 칼 효과음
이상하게 연기가 어색한 몇몇 배우들
시원한 정의 구현이라는 껍질에 쌓여 뒤섞여있다",2.0
무열오빠 잘생겼어요,1.5
이제 그만,2.0
"1. 이 영화는 다 필요없고,
FDA, Folice Dark Army, 어두운 경찰, 비밀경찰에서 끝났음
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ

2. 시리즈가 이어지면서 마동석이라는 배우의 필모그래피가 채워지는 것도 은근 즐겁다.

3. 악역개발에 필사적인 시리즈.",3.0
"양산형 범죄영화가 된 시즌4
재미도 시사하는 바도 없다.",2.5
Umm.......................,1.0
점점 지루해지고 뇌절이 되가는 하지만 그래도 전편보다는 나아진 팀적으로 움직이고 또 매력적인 장이수 캐릭터,2.0
백창기의 과묵함만이 영화를 이끌어간다,3.0
단점은 조금 보완하였지만 작품특성의 한계점이 보인다,2.5
재밌긴 한데 좀 더 여유를 두고 만들었음 좋을 것 같다,3.5
익숙함에 익숙해진 진부함-비행기 괜찮아요?,1.0
이제 그만. 많이 무따 아이가.,2.5
금천구로 배경을 옮겼으면 봐줄만 했을듯,2.5
진부하게 맛있다.,2.5
5편도 알것같다,2.0
241110 마물..,3.5
점점 식상해져가는 마형사ㅠㅠ,3.0
이젠 박지환 배우님 보려고 보는 것 같은..,3.5
그래서 시즌5는 언제라구요?,3.5
"그냥 액션이나 하지 마석도한테 감정선을 넣으니 스토리랄 게 필요해지고, 그 틈으로 구멍들이 쏟아진다. 형편없는 타율의 개그는 말할 것도 없다.",2.0
"가면 갈수록 빌런들의 임팩트는 작아지는 듯.
그래도 여전히 마형사의 액션만은 강렬하다.",3.5
새로운 통쾌함은 이제 힘들까,3.0
"나쁜남자가 끌리는 이유
2회차",3.5
그냥 한국범죄영화,0.5
3보다 낫다? 글쎄…?,1.0
갈수록 낮아지는 별점...,2.0
갈수록.. 영화가 아니게 된다.,2.0
김무열이 섹시했다.,1.5
"연속되는 시리즈와 충분히 예상되는 이야기. 허나, 예상됨에도 불구하고, 그저 재밌기에 계속 스크린을 바라보게 되는 영화.",2.5
"앞으로 남은 4편 장첸을 넘어서는 악역은 없을 수 있겠다
하하호호 별 생각 없이 볼 수 있는 영화",2.5
"이번에도 동석이형
주먹은 유효타",3.5
주인공이 하나인 영화가 이렇게 재미없을 수 있는가,2.0
"알고있는 맛이 제일 맛있다지만, 질리는 것도 사실이야",2.5
영화 틀어놓고 배달음식 먹어가며 유툽하면서 봐야 할 정도로 재미도 흥미도 없다.,1.0
"계속해서 소모되기만 하는 캐릭터들
킬링타임용
-
241008. 에어프랑스. 인천~파리~바르셀로나.",3.0
"“혼자서 괜찮겠어?”

“외롭지.“",3.5
"시즌이 거듭될수록 흥미가 떨어짐
자가복제. 더이상 영화관에서 보진 않을듯",1.5
전작들의 흥행공식에만 매몰돼 발전하지 못한 후속작. 강렬한 액션은 여전하지만 유머는 빛을 잃었고 스토리는 진부하며 캐릭터는 매력적이지 못하다,2.5
"똑같은 소재, 퇴보하는 시나리오. 이게 8편까지 나온다니.",1.0
범죄도시 5는 안 나올 듯 !,2.0
아는맛,2.5
"의리로 보는 영화
하지만 큰 기대없으면 빵빵터지는 그런.
5편이 나온다면 또 봐야지",4.0
"연출: 1.0
각본: 0.5
연기: 1.0
화면: 1.5
소리: 2.0
재미: 2.5
평균: 1.42",1.5
"나도 범죄도시4처럼 흥행하고 싶다…
자가복제 기획에 짜치는 대사와 가성비 연출이지만…
재밌는 요소 한 두개로 나머지 구린 부분 다 덮고 성공하고 싶다…",2.0
니가 이기나 내가 이기나 보자,0.5
"시리즈 중 가장 재미없다
약한 빌런, 마동석도 잘 안보이고
유머도 없고 통쾌함, 스릴도 없다
그냥 덤으로 만든 듯",1.0
"1,2만큼은 아니더라도 3보다는 재밌다",2.5
"어디선가 보거나 들었던 조각들의 누더기 모자이크,
김무열의 매끄러운 칼군무가 참 반듯하다.",2.5
전반적으로 성의가 없지만 어머니와의 약속이 제일 설득력이 없었다. 그래도 이제 장이수가 맞지 않아서 흐뭇.,2.5
"어째 점점 영화를 대충 만든다는 느낌이 드냐? 이제 이 시리즈는 그만 할때가 된듯, 시작이 있으면 끝을 볼줄도 알아야지.",3.0
이젠 ㄹㅇ 킬링타임밖에 안됌,3.0
이정도 순수재미면 (내 기준) 한국판 분노의 질주,3.5
한입먹으면 물리는 짜장면이지만 그 첫입을 잊지못해.,3.0
마동석 범죄도시 시리즈마다 벌크업 되는 과정도 많이보고 그만큼 더 강해져가는 모습을 보여주는것 같고 이번에 김무열의 액션이 정말 기억에 많이 남고 범죄도시 시리즈중에 가장 마음에드는 시리즈였다.,4.0
"스테레오타입으로 지루해
예상을 뒤집는 것이 없음",2.0
"어떻게 될 지 다 알고 있다.
어떻게 맞을 지 궁금해서 본다.",3.0
"4라서 그런지 끝까지 보는데 4번 걸림
칼부림 하는 애들 동석이형이 복싱으로로 패는 영화는
나는 이제 그만봐도 되겠음",2.0
한국영화 퇴보의 이유,1.5
기대치가 낮아지니 다시 볼만해지는 ... 생각하기 나름의 영화,3.0
5편은 천만 못넘기겠는데,2.5
"사이버 수사까지 영역전개한 마형사.
이제 주가조작범 정도 남았나요?
다음 작품은 해외는 못나가고 용산 올로케로 진행할 듯.",3.5
늘 먹던걸로. 단골많은 집은 그 이유가 있다,3.5
더 이상 다음을 기대하지 않게 만들었다는 점에서 시리즈 물의 수명을 끊은 순간.,2.5
"대사, 타이밍, 액션 모두 호흡이 엉망
진부하고 작위적인 자기복제",2.0
고점을 알고서도 먹는 뻔한 맛.,3.0
점점 퀄리티가 떨어지는데 한국영화 전반적으로 질적저하가 심해서 상대적으로 평균은 되보인다,2.5
진부를 넘어선 부진,2.0
한국판 에이리언 시리즈,2.5
딱 기대한 만큼.,2.5
범죄도시 너무 좋아하지만 가장 기억에 안남았던,3.0
