Review,Score
작정하고 웃기려는 코믹영화보단 웃겼던 코믹영화.,3.5
아직까진 끓여먹을 만하다,3.0
이준혁 아니였으면 안 봤음,1.0
"박장대소감은 없고
반전은 없다",1.5
모텔씬 보고 개웃음ㅋㅋㅋㅋㅋ,4.5
이준혁 연기 거침킥 민호 같았고 영화가 너무 짜침,2.5
"빌런도 반, 재미도 반, 집중도 반",0.5
악당들 캐릭터를 더 살렸으면 어땠을까...,2.0
메인급 빌런이 너무 많아버렸잖아,2.5
"마석도 개그는 언제 안 먹힐까
이준혁은 몸을 말리도록 해라",2.5
중간에 졸았다. 이제 코미디 영화가 다 되어버렸는데 그마저도 완벽하지 못했다는 것.,2.5
점점 매력을 잃어가는 빌런,2.5
웃음은 아니 웃음만 보장됨,1.5
다시마넣고 다시 끓인 미역국 변화를 주려고한 그런데 오히려 이상해져버린 영화 유치함과 말도 안되는 개연성 웃음만 챙긴 나태한 마동석 원맨쇼,2.0
절정만을 생각해 달린다,2.5
"영화는 볼만하지만
영화 분류에 범죄 되있는것을 보았다.",2.0
이게 뭐지..싶지만 이준혁이 좋아서..♡,3.0
메인빌런이 왜이렇게 매력이 없냐…..,2.5
아3은쪼오금,3.0
진짜 그만하면 안될까? 이런 영화들이 한국영화의 질을 낮춘다고 생각한다.,0.5
"언제 봐도 시원시원한 액션 :)
이 맛에 범죄도시 본다.",3.5
악역이 너무 많아,3.5
돈 맛을 너무 본거같다 액션을 찰지다 사운드가,3.0
범죄도시의 몰락,0.5
맞는 사람도 익숙해져버린 타격감(2.0),2.0
화려함으로 대체된 긴장감,3.0
라인 잘못타서 삐뚤어진 동재…..,2.5
"슬슬 이 음식점이 질린다고 생각하는데,
친구들한테 이야기는 못 할 때.",2.0
왜 존재하는지 모르겠는 시리즈,0.5
범죄도시는 언제나 재미는 챙기고 가지만 갈수록 퀄리티가 떨어지는건 어쩔수없다,3.5
그만 만드세요 그만 만든다고 하세요,0.5
"영화가 아닌 연극식 연기들이
아 뭔가 오글거리고 촌스럽고..
+연기 연출 스토리 캐릭터 전부 노매력.",1.5
이준혁이 살렸다,3.5
범죄도시중에 가장 재미없음 수고,2.0
마블의 한국화,2.0
빌런이 뭘 하고싶은건지 모르겠다,4.5
"마동석은 재밌지만
점점…",3.5
"2보다는 재미없었음
악당 임팩트가 넘 적어..",3.0
익숙하지만 한층 싱거워진 느낌,3.0
"한층 높아진 액션, 한층 낮아진 빌런의 매력",3.5
섹시섹시주성철,4.0
코미디요소를 적당히 넣었으면 좋았을걸,1.5
시리즈 중 제일 재미없는 듯. 빌런 활용이 매우 아쉬웠고 그러다보니 긴장감 몰입감 모두 떨어졌다,2.0
이준혁 연기 제발요,0.5
마지막 격투의 카타르시스는 점점 약해져간다.,3.0
매력 없는 빌런. 개그 영화인가 액션 영화인가.,1.5
엥? 이렇게 끝난다고?,2.5
그냥 이준혁이 잘생김.,3.0
"갈수록 재미 없는 시리즈중
최악의 시즌3",2.5
이번에는 좀 약했다,3.0
살해현장에서 뛰노는 초딩 잼민이,0.5
"이야기도, 유머도, 빌런도 전부 다 슴슴하다.
기댈 곳이 마동석밖에 없어서인지 먼치킨같은 마석도가 통쾌하다기보단 부자연스럽게 보일 뿐.",2.0
클리셰는 적절한 타임에 들어가도 적절하지 않다.,1.0
비슷하긴 해,3.0
초롱이로 3점,3.0
마동석에 질린다...,1.5
그래도 2절까지는 괜찮았는데 3절은 좀…..,2.0
"이번 라면은 물조절에 실패했네.
근데 난 원래 라면을 좋아행.
초롱이 때문에 한참 웃었구먼.",3.5
범죄도시 이제 그만하자,3.0
슬슬 뇌절인데..,2.5
킬링타임용,0.5
솔직히 이건 초롱이 캐리임. 거의 혼자 23월즈 페지르급 슈퍼토스함.,2.5
애매한 톤 앤 매너에 애매한 개그 타율.,2.5
시원~시원~👊👊,3.0
30초앞이 예상되는 같은 래퍼토리의 스토리라인,3.0
"유행을 타는 시리즈, 고정된 액션과 유머가 반복",1.5
예전 아저씨들이 이런 마음으로 스티븐 시걸에 열광했던 걸까,2.5
주먹의 강도와 재미는 반비례한다,2.0
"정말 일과 하루에 지친사람들이 웃고 즐길수있는 영화. 그리고 그 즐거움과 재미가 뭔지 아는 영화. 그 이상도 이하도 아니다.

(근데 가면 갈수록 뭔가 메인 빌런이 점점 더 약해지는 느낌...)",2.5
프랜차이즈에 오점을 남긴 매력없는 빌런,2.5
"부담감과 공포감이 줄어서 이전 작품들보다는 부담없이 마동석의 통쾌하고 시원한 액션을 즐길 수 있었다. 다만, 재미도 그만큼 줄었다.",3.0
간은 쎈거 같은데 깊이감이 없다,2.5
,2.5
"지예은이 초롱이여친 원본보다 더 찰짐
초롱이오빠 알면 즞대~!!
이준혁 너무 이쁘게 생겨서 벌크업하구 어둡게 화장한 거 같은데도 안 어울림",2.0
그냥 가벼이 보게되는 코미디 액션물이 되어버렸다,3.0
그냥 재미없다..,1.5
악역 둘이서 분량을 나눠버리니 멋 또한 절반,2.5
"이미 익숙해진 구성 속에서, 아직까지는 마석도의 유머와 악독한 빌런의 범죄가 영화를 재미있도록 굴러가게 만들고 있다",3.0
"악역을 구축해 줄 서사가 부족했다. 그래서 그런지 주성철이 마석도한테 맞을 때마다 통쾌한게 아니라 안쓰러웠다.
@Disney+",2.5
,2.0
감칠맛은 사라지고 단맛만 남았다,3.0
이 개가튼 영화는 왜 자꾸 나오고 왜 자꾸 다 챙겨보게 되는가..,1.5
범죄도시1밖에 안봐서 그런가 재밌눈뒈….?…..,3.5
모르겟어요,3.0
"초롱이 캐릭터는 확실히 재미를 주기는 한다.
하지만 이 영화는 코미디 영화가 아니고 액션아닌가?",2.5
"비슷한 액션,비슷한 연기,비슷한 기승전결의 삼위일체로 시리즈 사상 가장 재미없었음.",1.0
대충 대충 대충,0.5
"“ 장희수, 나랑 일 하나 하자. ”",4.0
범죄 설정부터 진부하다.,2.0
마동석 코미디,3.0
재미는 있는 주먹 공식 액션 영화,3.0
생각보다 재밌는데..?,3.5
"윤계상, 손석구이 전달한 빌런의 살벌함은 증발되고, 우스꽝스러움만 남음. 딱 ‘초롱이’ 정도의 영화.",1.5
저만큼 휘두르고 맞아도 찢어짐 없는 바람막이,2.5
당근마켓 매니아,2.5
그냥 악역으로 손석구보다가 커염둥이 경찰이 횡령하다 걸려서 쳐맞는 영화 메인 빌런보다 중간에 일본 검객이 훨씬 멋있음;,3.0
시리즈를 거듭할수록 단점이 더 커진다,2.0
수갑너클좋은디? 근데넘힘못씀,2.0
"주성철은 잘생겼는데...
쓰읍...영화가 아쉽네...",3.0
왜 이렇게 늦게 와?,3.5
CGV 광주상무 / with 엄마 준영,3.0
"전형적인 마동석물 킬링타임으로 보기 나이스
악역이 약해도 너무 약하다 턱내미는 연기밖에 못하는 악역을 마동석에 붙여두니 긴장감이 없어 너무 아쉽네",2.5
반복되는 포맷에 지쳐 졸았다,1.5
조선족 짱깨 두들겨 패고 베트남 들쑤시고 쪽바리 때려 잡은 다음은 누군가? 빨갱이? 유대인?,1.5
이전 범죄도시에 비해 무난한 스토리진행이나 양념처럼 뿌려진 코미디가 웃음을 더해준다,3.0
배신감 없는 프랜차이즈.,2.0
김장 잘못한 존윅,2.0
* SBS 2024-09-16,0.5
"마동석이 나올 때 : 😆
마동석이 안 나올 때 : 😐",3.0
어이없는 네컷만화 보는 기분인데 웃김..,3.0
진부한 스토리를 코미디로 승화시킨다면,2.5
"그저 마동석이 다 후두려패는 걸 보여주기 위한 뻔하고 작위적인 이야기 반복에 빌런은 더 멍청하고 개성도 없어졌다. 근데도 이게 먹히네..

그리고 자꾸 이딴 식으로 불법으로 건조물 침입해서 사람 패고 물건 부수고 뒤지고 이러면 그게 깡패지...
이렇게 불법 체포감금에 폭행 협박 가혹행위로 얻어낸 위법수집증거와 임의성 없는 자백은 증거능력 없어서 유죄판결 못 내립니다..",2.0
공장에서 고착화된 채 찍어낸 기성품,2.5
추석이라 참았다……,1.0
마블리가 귀여워서 별 한 개 추가💙,3.0
엄마가 한 냄비 해놓고 간 곰탕도 맛은 있으니까,2.5
"앞의 두 작품이 메가히트를 쳐서 기대가 컸기에 실망도 컸던 영화.

범죄도시1의 장첸, 범죄도시2의 강해상을 넘어서지 못한 이준혁의 연기를 볼 수 있음.
잔인함도 1% 부족, 싸움실력도 1% 부족. 장첸이나 강해상처럼 드립 (혼자왔어? 어 솔로야)은 99% 부족.

""야 마석도, 나랑 거래 하나 하자. 저 약 300억이야. 우리 둘이 나누면…”
“야야야! 5대5 얘기는 꺼내지도 마! 어차피 내가 5잖아.”
(노잼)",2.0
"범죄도시 시리즈는 빌런이 절반인 시리즈다.
마지막이 마석도와 빌런의 맞다이로 확정된 영화기 때문이다.
따라서 빌런이 별로면 다른 영화보다도 몇배는 더 타격이 크다. 그리고 별로였다.",2.0
전작에 비해 더 가벼워진 킬림타임용 영화,3.0
"""진실의 방을 청소하자""",5.0
같은 이유,3.0
잔펀치는 살아있으나 강펀치는 무뎌졌다 5.8,2.5
이준혁 아니었으면 내 돈 주고 볼 일도 없었다고 전해라,2.5
여전히 시원하게 패지만 이젠 뭐 그러려니,2.5
멈추지 않는 동석이형,2.5
"나 이준혁 싫어하나  ?

동석이형 넘 막강해서 긴장감이 없다",2.5
생각한 그대로의 휴게소 돈까스,3.0
아는 맛이지만 맛있게 먹는 엄마 음식같은 영화,3.0
"범도 시리즈중 난 제일 별로
근데 걍 뇌빼고 보기엔 이게 최고",2.0
즐겁다! 오락!,3.0
오락영화가 이정도면 됐지,3.0
"범죄도시 시즌 중 가장 약한 빌런...
이준혁 얼굴 덕분에 천만 영화가 된 듯싶다",3.5
"야쿠자에 비리경찰에

대충 끼워 맞춰도

두들겨 팰 나쁜놈한텐

주변호사가 딱이지",3.0
시리즈 중 최악,1.5
짜잔,3.0
나쁜놈들은 처 맞아야됨,3.5
무거움이 아니라 가벼움을 봐버린 아쉬움.,2.5
재밌지만 조금 아쉬웠다,3.5
이것보다 밑이 나오진 않겠지. 설마. 제발.,0.5
원 투 쓰리 펀치 강냉이,2.5
🐣,3.0
적당히 적당함,3.0
"씨지비 여의도 3관
ㅡ
(한참 모자른) 한국판 분노의 질주",2.5
나쁘진 않았는데 지나고 기억에 남는게 없다.,2.0
OTT 레벨로 내려와 버렸네.,2.5
뇌절=노잼,2.0
독산 롯데시네마에서 봤는데요 아주머니들과 할아버지들께서 단체관람을 오셨었구요 추석 때 안방에 모여서 특선영화 보는것 마냥 다같이 빡빡 웃으면서 봤습니다 영화관에서 그렇게 큰소리로 웃어보다니 짜릿했어요,4.0
"ai가 쓴 듯한 각본
액션을 복싱으로 밀고간 이유도 잘 모르겠다",2.5
지루할 틈에 주먹! 뻔한데 싶을 때 웃음! 심심해질 쯤에 주먹! 그렇게 겨우겨우 끝까지..,3.0
"뇌절의 시작.
재미는 있었지만 의외로 평가가 낮은 영화.",3.0
아 … 뇌절,2.5
마동석 뿐만 아니라 빌런의 매력도가 얼마나 중요한지 증명하다,2.5
국밥집이 장사가 잘 되어서 여유가 넘쳤나보다,2.0
마동석 장르의 한계가 보이는듯 말듯 하는 영화.,2.5
안심하고 보는 슈퍼히어로물,3.0
,2.0
빌런이 야개야개,3.0
장이수의 화려한 복귀,3.5
아니야...이번 끝판왕은 너무 약하다구!,3.0
"분명 재밌었지만, 어딘가 진부한.
시원했지만, 마냥 무식한.",2.0
"죄송한말이지만, 그만 나왔으면 하는 영화.
다시 나온다면 새로움이 필요함!",0.5
"뭔가 뻔한 소재인거 같은데 계속해서 보게 된다구,, 중간 중간에 계속 나오는 웃음 소재.. 날 웃게 만들어",3.5
빌런은 2배인데 재미는 반쪽.,2.0
아오키 무네타카는 좀 더 큰 칼을 주었어야...,3.5
지금까지 나온 시리즈 중 젤 재미없었둠 ..,2.5
곁에 싸움 잘하는 충직한 경호원을 데리고 다니는 깔쌈하고 비열한 화이트컬러 마약중독자를 기대했건만.,3.0
먹다보니 아쉽다,3.0
대박 재밌어 ㅠㅠ,5.0
77.15%,4.0
"너무 재미 없어서 중간에 끔. 마동석이 뻔한 건 원래 그 맛에 보는 거니 괜찮은데, 다른 캐릭터들도 뻔하고 스토리도 뻔하고 연출도 뻔하면 어떡하노.",1.5
건진건 오직 초롱이,2.0
"이거 장르가 코미딘가요?
주성철이 메인 빌런인데 그닥 존재감이 크지 않았다. 누가 줄줄이 나와.. 그리고 왠지좀 루즈했음

아가리토 고자이마스/ 주변호사..",2.0
빌럼이 약했다.. 빌런이 양쪽에 다리를 걸치려면 좀더 정교했어야 함,3.0
"더 난잡해진 3편
그러나 장검액션은 역대급",3.0
웃기긴 했다ㅋㅋ,3.5
동석이형처럼 살고싶다,3.0
경찰이 사람 죽이면 안되는 이유;;,2.5
24.08.09 몽골 돌아오는 뱅기에서. 감상평은... 맨날 똑같지 머~,2.0
코미디,2.5
시리즈가 가면 갈 수록... 산으로 간다?,2.0
흥행을 위해 갈수록 유치해진다고 할까나?,2.0
점점 별점이 내려가고 있는 건 안비밀.,2.5
창의성 없는 우려먹기는 지루하고 단조롭다,2.0
"알고 보지만, 그래도 이번에는 쫌...",1.5
"더 세련되고 깔끔해짐.
근데 너무 정형화되고 이젠 더 이상 빌런이 기억나지 않음

마동석과 빌런 둘이 이끌어가는 영화인데
마동석은 정형화되고
빌런은 임팩트가 없는데
사이드 메뉴만 깔끔해지면 뭐할까요",2.5
여전한 히어로는 미지근하고 새로운 빌런마저 미지근하고,2.5
여기서끝내자,3.0
범죄도시 시리즈 중에서도 가장 못 나왔다고 생각하,3.0
자기 복제의 한계,3.5
뻔한데 재밌음 이것이 마동석인가,3.0
"시즌1,2랑비교했을땐
좀노잼이엇다",2.5
빌런의 중요성,2.0
이젠 마동석의 액션 시퀀스를 외웠다,2.0
마동석 원맨쇼. 장첸과 장이수가 그립네.,2.0
게으름,2.0
이제는 너무나 질려버린 반복,2.5
이준혁 잘생겼다.,2.5
우리나라에 마석도 같은 형사 500명만 있다면 이 세상은 훨씬 안전해질텐데,5.0
"1편>2편>3편
본편보다 떨어지는 범죄의 치밀함, 잔혹함. 그러기에 떨어진 통쾌함.",2.5
속편의 잘못된 예시,2.0
"이제 한템포 쉬어갈 때인가..
집중력떨어져서 혼났네",3.0
"쎈캐,시원시원함 : 마동석, 유머담당 : 장이수,초롱이, 멋진악당등 범죄도시는 각 시리즈마다 역할이 다 정해져있고 이제는 그 역할에 끼워맞춰서 억지로 제작한다는 생각마저 들었다. 캐릭터 설정은 정말 기가막혀서 악당들도 매력적으로 보였으나 너무 쉽게쉽게 해결해버리는 우리의 마동석 덕분에 영화에 몰입감도 깨졌을뿐더러 이제 익숙함을 넘어 질려버리는 느낌이였다.",2.5
"악역이 두명이라 매력이 급 하강함.
이준혁의 도련님같은 악역면모를 기대했건만... 여러모로 아쉬운 작품",1.5
돈아깝다,1.5
"아는맛이 맛있는건 어쩔 수 없다.

혼자, 집에서",3.5
2편에 비해 빌런의 매력이 떨어진 것이 아쉬운 부분,2.5
이준혁만 봐도 흥이난다.,4.0
여태까지의 성공이 운이었음을 알게 됐다.,2.0
"이때부터였어요 이 시리즈가 망하던게
-범죄도시4를 보고-",2.0
매력적인 면을 전혀 찾아볼 수 없다,2.0
이제는 안전하게 액션 영화를 즐기는 선택지가 되어버린 듯하다,3.0
그냥저냥,1.5
어떻게든 연명을 하는구나,3.0
성철씨 이혼남 같아서 좋음ㅎㅎ,3.0
시리즈의 막이 다가옴을 슬며시 드러내기 시작,2.5
스토리에 매력이 없으면 캐릭터에 매력이라도 있어야 하는데.,1.5
이준혁 배우 너무 힘주는 게 티나서 몰입이 깨졌던,3.0
"시간을 허투루 보내는 것 보다는 나은, 취향 존중.",2.0
